idx,tile,IPCC Class,SMOD,source,joint_class,split
78,Landcover-776663,Settlement,11,Landcover,Landcover/Settlement/11,train
79,Landcover-771830,Settlement,13,Landcover,Landcover/Settlement/13,train
80,Landcover-407860,Other,11,Landcover,Landcover/Other/11,train
81,Landcover-771757,Settlement,11,Landcover,Landcover/Settlement/11,train
82,Landcover-484965,Grassland,11,Landcover,Landcover/Grassland/11,train
83,Landcover-1736070,Forest,11,Landcover,Landcover/Forest/11,train
84,ASMSpotter-14-3-2,Forest,11,ASMSpotter,ASMSpotter/Forest/11,train
85,ASMSpotter-28-2-3,Grassland,11,ASMSpotter,ASMSpotter/Grassland/11,train
86,Landcover-776084,Settlement,10,Landcover,Landcover/Settlement/10,train
87,UNHCR-MMRs035446,Agriculture,30,UNHCR,UNHCR/Agriculture/30,train
88,UNHCR-MLIs003306,Settlement,30,UNHCR,UNHCR/Settlement/30,train
89,Landcover-771779,Settlement,23,Landcover,Landcover/Settlement/23,train
90,UNHCR-TZAs011872,Agriculture,12,UNHCR,UNHCR/Agriculture/12,train
91,UNHCR-SOMs027989,Agriculture,30,UNHCR,UNHCR/Agriculture/30,train
92,UNHCR-COGs010046,Settlement,12,UNHCR,UNHCR/Settlement/12,train
93,Landcover-771480,Settlement,23,Landcover,Landcover/Settlement/23,train
94,UNHCR-HUNs002665,Agriculture,11,UNHCR,UNHCR/Agriculture/11,train
95,UNHCR-PAKs003489,Grassland,12,UNHCR,UNHCR/Grassland/12,train
96,ASMSpotter-1-3-2,Forest,11,ASMSpotter,ASMSpotter/Forest/11,train
97,Landcover-774719,Settlement,11,Landcover,Landcover/Settlement/11,train
98,UNHCR-LBRs008778,Forest,11,UNHCR,UNHCR/Forest/11,train
99,UNHCR-NERs009467,Other,11,UNHCR,UNHCR/Other/11,train
100,Landcover-770507,Settlement,11,Landcover,Landcover/Settlement/11,train
101,UNHCR-NGAs036594,Grassland,11,UNHCR,UNHCR/Grassland/11,train
102,Landcover-777507,Settlement,12,Landcover,Landcover/Settlement/12,train
103,UNHCR-SDNs015541,Agriculture,11,UNHCR,UNHCR/Agriculture/11,train
104,Landcover-1315299,Agriculture,11,Landcover,Landcover/Agriculture/11,train
105,Landcover-87405,Agriculture,11,Landcover,Landcover/Agriculture/11,train
106,Landcover-775359,Settlement,30,Landcover,Landcover/Settlement/30,train
107,Landcover-771178,Settlement,13,Landcover,Landcover/Settlement/13,train
108,UNHCR-NGAs035549,Water,12,UNHCR,UNHCR/Water/12,train
109,UNHCR-CODs003870,Agriculture,12,UNHCR,UNHCR/Agriculture/12,train
110,Landcover-1733540,Forest,11,Landcover,Landcover/Forest/11,train
111,Landcover-773781,Settlement,12,Landcover,Landcover/Settlement/12,train
112,UNHCR-CODs026832,Forest,11,UNHCR,UNHCR/Forest/11,train
113,Landcover-1677052,Forest,11,Landcover,Landcover/Forest/11,train
114,Landcover-771704,Settlement,11,Landcover,Landcover/Settlement/11,train
115,Landcover-777863,Settlement,30,Landcover,Landcover/Settlement/30,train
116,Landcover-775524,Settlement,23,Landcover,Landcover/Settlement/23,train
117,UNHCR-MLIs003325,Other,11,UNHCR,UNHCR/Other/11,train
118,Landcover-347434,Other,11,Landcover,Landcover/Other/11,train
119,Landcover-622801,Other,11,Landcover,Landcover/Other/11,train
120,UNHCR-NGAs035640,Grassland,11,UNHCR,UNHCR/Grassland/11,train
121,Landcover-775475,Settlement,12,Landcover,Landcover/Settlement/12,train
122,Landcover-775555,Settlement,11,Landcover,Landcover/Settlement/11,train
123,Landcover-775000,Settlement,22,Landcover,Landcover/Settlement/22,train
124,UNHCR-IRNs001083,Agriculture,11,UNHCR,UNHCR/Agriculture/11,train
125,Landcover-775845,Settlement,23,Landcover,Landcover/Settlement/23,train
126,Landcover-771794,Settlement,21,Landcover,Landcover/Settlement/21,train
127,ASMSpotter-17-1-2,Forest,11,ASMSpotter,ASMSpotter/Forest/11,train
128,Landcover-769284,Settlement,12,Landcover,Landcover/Settlement/12,train
129,Landcover-776602,Settlement,30,Landcover,Landcover/Settlement/30,train
130,UNHCR-GMBs003416,Forest,11,UNHCR,UNHCR/Forest/11,train
131,UNHCR-NGAs037143,Settlement,12,UNHCR,UNHCR/Settlement/12,train
132,Landcover-1563992,Forest,11,Landcover,Landcover/Forest/11,train
133,UNHCR-NGAs036653,Agriculture,11,UNHCR,UNHCR/Agriculture/11,train
134,Landcover-778499,Settlement,21,Landcover,Landcover/Settlement/21,train
135,Amnesty POI-8-2-1,Forest,11,Amnesty,Amnesty/Forest/11,train
136,Landcover-614366,Other,11,Landcover,Landcover/Other/11,train
137,UNHCR-LBNs004287,Other,12,UNHCR,UNHCR/Other/12,train
138,Amnesty POI-13-2-2,Grassland,30,Amnesty,Amnesty/Grassland/30,train
139,UNHCR-CODs026833,Forest,11,UNHCR,UNHCR/Forest/11,train
140,Landcover-773792,Settlement,23,Landcover,Landcover/Settlement/23,train
141,ASMSpotter-10-3-3,Forest,11,ASMSpotter,ASMSpotter/Forest/11,train
142,Landcover-773387,Settlement,30,Landcover,Landcover/Settlement/30,train
143,ASMSpotter-9-1-1,Forest,11,ASMSpotter,ASMSpotter/Forest/11,train
144,Landcover-774345,Settlement,21,Landcover,Landcover/Settlement/21,train
145,Landcover-616966,Other,11,Landcover,Landcover/Other/11,train
146,UNHCR-KAZs003279,Settlement,30,UNHCR,UNHCR/Settlement/30,train
147,Landcover-1350235,Agriculture,11,Landcover,Landcover/Agriculture/11,train
148,Landcover-775837,Settlement,12,Landcover,Landcover/Settlement/12,train
149,UNHCR-HUNs002541,Settlement,13,UNHCR,UNHCR/Settlement/13,train
150,Amnesty POI-9-2-3,Settlement,30,Amnesty,Amnesty/Settlement/30,train
151,UNHCR-TCDs080156,Grassland,11,UNHCR,UNHCR/Grassland/11,train
152,Landcover-1055524,Other,11,Landcover,Landcover/Other/11,train
153,Landcover-777229,Settlement,13,Landcover,Landcover/Settlement/13,train
154,Landcover-775188,Settlement,30,Landcover,Landcover/Settlement/30,train
155,Landcover-1756610,Forest,11,Landcover,Landcover/Forest/11,train
156,UNHCR-ETHs004633,Forest,11,UNHCR,UNHCR/Forest/11,train
157,UNHCR-SSDs008818,Other,11,UNHCR,UNHCR/Other/11,train
158,UNHCR-NGAs035290,Forest,11,UNHCR,UNHCR/Forest/11,train
159,Landcover-777340,Settlement,23,Landcover,Landcover/Settlement/23,train
160,Landcover-714290,Other,11,Landcover,Landcover/Other/11,train
161,UNHCR-IRQs010037,Other,11,UNHCR,UNHCR/Other/11,train
162,Landcover-778116,Settlement,30,Landcover,Landcover/Settlement/30,train
163,Landcover-1861245,Forest,11,Landcover,Landcover/Forest/11,train
164,UNHCR-GNBs001091,Agriculture,21,UNHCR,UNHCR/Agriculture/21,train
165,Landcover-264977,Agriculture,11,Landcover,Landcover/Agriculture/11,train
166,Amnesty POI-3-1-3,Other,11,Amnesty,Amnesty/Other/11,train
167,ASMSpotter-17-1-3,Forest,11,ASMSpotter,ASMSpotter/Forest/11,train
168,UNHCR-MMRs032427,Forest,11,UNHCR,UNHCR/Forest/11,train
169,Amnesty POI-6-2-3,Grassland,21,Amnesty,Amnesty/Grassland/21,train
170,Landcover-776300,Settlement,30,Landcover,Landcover/Settlement/30,train
171,UNHCR-NGAs026662,Agriculture,11,UNHCR,UNHCR/Agriculture/11,train
172,Landcover-769970,Settlement,21,Landcover,Landcover/Settlement/21,train
173,Landcover-776756,Settlement,30,Landcover,Landcover/Settlement/30,train
174,Landcover-773172,Settlement,21,Landcover,Landcover/Settlement/21,train
175,Landcover-220751,Agriculture,11,Landcover,Landcover/Agriculture/11,train
176,UNHCR-ETHs028884,Other,11,UNHCR,UNHCR/Other/11,train
177,UNHCR-NERs009693,Agriculture,11,UNHCR,UNHCR/Agriculture/11,train
178,UNHCR-MLIs003330,Agriculture,30,UNHCR,UNHCR/Agriculture/30,train
179,UNHCR-NGAs036572,Agriculture,11,UNHCR,UNHCR/Agriculture/11,train
180,Landcover-777518,Settlement,23,Landcover,Landcover/Settlement/23,train
181,ASMSpotter-24-3-1,Forest,11,ASMSpotter,ASMSpotter/Forest/11,train
182,Amnesty POI-2-2-3,Settlement,11,Amnesty,Amnesty/Settlement/11,train
183,Landcover-776011,Settlement,30,Landcover,Landcover/Settlement/30,train
184,Landcover-773635,Settlement,21,Landcover,Landcover/Settlement/21,train
185,Landcover-771275,Settlement,30,Landcover,Landcover/Settlement/30,train
186,UNHCR-LBNs005616,Other,12,UNHCR,UNHCR/Other/12,train
187,Landcover-774167,Settlement,21,Landcover,Landcover/Settlement/21,train
188,Landcover-776403,Settlement,30,Landcover,Landcover/Settlement/30,train
189,Landcover-768934,Settlement,30,Landcover,Landcover/Settlement/30,train
190,ASMSpotter-28-1-1,Grassland,11,ASMSpotter,ASMSpotter/Grassland/11,train
191,Landcover-778004,Settlement,30,Landcover,Landcover/Settlement/30,train
192,Landcover-770525,Settlement,21,Landcover,Landcover/Settlement/21,train
193,UNHCR-CODs006942,Wetland,11,UNHCR,UNHCR/Wetland/11,train
194,Landcover-774443,Settlement,30,Landcover,Landcover/Settlement/30,train
195,Amnesty POI-2-1-3,Settlement,11,Amnesty,Amnesty/Settlement/11,train
196,Landcover-1423442,Forest,11,Landcover,Landcover/Forest/11,train
197,Landcover-812305,Other,11,Landcover,Landcover/Other/11,train
198,UNHCR-SDNs080014,Agriculture,11,UNHCR,UNHCR/Agriculture/11,train
199,UNHCR-SDNs001484,Agriculture,11,UNHCR,UNHCR/Agriculture/11,train
200,ASMSpotter-21-1-2,Forest,11,ASMSpotter,ASMSpotter/Forest/11,train
201,Landcover-1562130,Forest,11,Landcover,Landcover/Forest/11,train
202,Landcover-772654,Settlement,30,Landcover,Landcover/Settlement/30,train
203,Landcover-336386,Other,11,Landcover,Landcover/Other/11,train
204,Landcover-773359,Settlement,11,Landcover,Landcover/Settlement/11,train
205,Landcover-777024,Settlement,11,Landcover,Landcover/Settlement/11,train
206,Landcover-769879,Settlement,11,Landcover,Landcover/Settlement/11,train
207,Landcover-774998,Settlement,13,Landcover,Landcover/Settlement/13,train
208,Landcover-776576,Settlement,11,Landcover,Landcover/Settlement/11,train
209,Landcover-1747043,Forest,11,Landcover,Landcover/Forest/11,train
210,UNHCR-CODs031871,Agriculture,30,UNHCR,UNHCR/Agriculture/30,train
211,ASMSpotter-17-1-1,Forest,11,ASMSpotter,ASMSpotter/Forest/11,train
212,UNHCR-NERs009697,Settlement,30,UNHCR,UNHCR/Settlement/30,train
213,ASMSpotter-12-3-1,Forest,11,ASMSpotter,ASMSpotter/Forest/11,train
214,ASMSpotter-10-2-3,Forest,11,ASMSpotter,ASMSpotter/Forest/11,train
215,UNHCR-BFAs004646,Grassland,11,UNHCR,UNHCR/Grassland/11,train
216,UNHCR-BFAs004632,Agriculture,11,UNHCR,UNHCR/Agriculture/11,train
217,UNHCR-NGAs035969,Agriculture,11,UNHCR,UNHCR/Agriculture/11,train
218,Landcover-772697,Settlement,30,Landcover,Landcover/Settlement/30,train
219,Landcover-545549,Grassland,11,Landcover,Landcover/Grassland/11,train
220,Landcover-693691,Other,11,Landcover,Landcover/Other/11,train
221,UNHCR-NGAs037106,Settlement,30,UNHCR,UNHCR/Settlement/30,train
222,UNHCR-NGAs037278,Agriculture,11,UNHCR,UNHCR/Agriculture/11,train
223,Landcover-1354585,Agriculture,11,Landcover,Landcover/Agriculture/11,train
224,Landcover-418264,Other,11,Landcover,Landcover/Other/11,train
225,UNHCR-NGAs036216,Agriculture,12,UNHCR,UNHCR/Agriculture/12,train
226,Landcover-320219,Other,11,Landcover,Landcover/Other/11,train
227,Landcover-408385,Other,11,Landcover,Landcover/Other/11,train
228,Landcover-775453,Settlement,23,Landcover,Landcover/Settlement/23,train
229,UNHCR-CMRs032270,Settlement,13,UNHCR,UNHCR/Settlement/13,train
230,Landcover-776704,Settlement,30,Landcover,Landcover/Settlement/30,train
231,ASMSpotter-33-1-1,Forest,11,ASMSpotter,ASMSpotter/Forest/11,train
232,UNHCR-TCDs002895,Grassland,11,UNHCR,UNHCR/Grassland/11,train
233,Landcover-14249,Agriculture,11,Landcover,Landcover/Agriculture/11,train
234,Landcover-776598,Settlement,11,Landcover,Landcover/Settlement/11,train
235,UNHCR-MMRs035191,Agriculture,11,UNHCR,UNHCR/Agriculture/11,train
236,Landcover-771984,Settlement,21,Landcover,Landcover/Settlement/21,train
237,Landcover-906415,Other,11,Landcover,Landcover/Other/11,train
238,UNHCR-SDNs027987,Grassland,11,UNHCR,UNHCR/Grassland/11,train
239,Landcover-777556,Settlement,23,Landcover,Landcover/Settlement/23,train
240,UNHCR-NGAs036155,Agriculture,12,UNHCR,UNHCR/Agriculture/12,train
241,Landcover-776823,Settlement,22,Landcover,Landcover/Settlement/22,train
242,Landcover-777079,Settlement,21,Landcover,Landcover/Settlement/21,train
243,UNHCR-GEOs003066,Settlement,30,UNHCR,UNHCR/Settlement/30,train
244,Landcover-632301,Other,11,Landcover,Landcover/Other/11,train
245,Landcover-854301,Other,11,Landcover,Landcover/Other/11,train
246,Landcover-776815,Settlement,23,Landcover,Landcover/Settlement/23,train
247,Landcover-776153,Settlement,12,Landcover,Landcover/Settlement/12,train
248,Landcover-773233,Settlement,30,Landcover,Landcover/Settlement/30,train
249,Landcover-771134,Settlement,22,Landcover,Landcover/Settlement/22,train
250,Landcover-823696,Other,11,Landcover,Landcover/Other/11,train
251,ASMSpotter-37-2-2,Forest,11,ASMSpotter,ASMSpotter/Forest/11,train
252,UNHCR-YEMs004682,Agriculture,11,UNHCR,UNHCR/Agriculture/11,train
253,Landcover-1885518,Forest,11,Landcover,Landcover/Forest/11,train
254,UNHCR-MMRs032270,Agriculture,13,UNHCR,UNHCR/Agriculture/13,train
255,Landcover-769997,Settlement,21,Landcover,Landcover/Settlement/21,train
256,ASMSpotter-8-1-2,Forest,11,ASMSpotter,ASMSpotter/Forest/11,train
257,UNHCR-UGAs990098,Agriculture,11,UNHCR,UNHCR/Agriculture/11,train
258,UNHCR-ITAs003024,Settlement,13,UNHCR,UNHCR/Settlement/13,train
259,UNHCR-TCDs002655,Grassland,11,UNHCR,UNHCR/Grassland/11,train
260,UNHCR-YEMs035290,Settlement,30,UNHCR,UNHCR/Settlement/30,train
261,Landcover-772755,Settlement,30,Landcover,Landcover/Settlement/30,train
262,Landcover-739728,Forest,11,Landcover,Landcover/Forest/11,train
263,ASMSpotter-31-3-1,Forest,11,ASMSpotter,ASMSpotter/Forest/11,train
264,Landcover-519652,Grassland,11,Landcover,Landcover/Grassland/11,train
265,Amnesty POI-19-3-1,Settlement,30,Amnesty,Amnesty/Settlement/30,train
266,Landcover-439069,Grassland,11,Landcover,Landcover/Grassland/11,train
267,Landcover-776022,Settlement,30,Landcover,Landcover/Settlement/30,train
268,UNHCR-CHEs003033,Forest,13,UNHCR,UNHCR/Forest/13,train
269,Landcover-1472914,Forest,11,Landcover,Landcover/Forest/11,train
270,Landcover-287302,Other,11,Landcover,Landcover/Other/11,train
271,Landcover-774293,Settlement,13,Landcover,Landcover/Settlement/13,train
272,Landcover-775637,Settlement,23,Landcover,Landcover/Settlement/23,train
273,Amnesty POI-14-1-2,Agriculture,23,Amnesty,Amnesty/Agriculture/23,train
274,Landcover-776336,Settlement,30,Landcover,Landcover/Settlement/30,train
275,Landcover-773455,Settlement,12,Landcover,Landcover/Settlement/12,train
276,Landcover-773246,Settlement,21,Landcover,Landcover/Settlement/21,train
277,Landcover-772577,Settlement,13,Landcover,Landcover/Settlement/13,train
278,UNHCR-BFAs004498,Agriculture,11,UNHCR,UNHCR/Agriculture/11,train
279,Landcover-770919,Settlement,30,Landcover,Landcover/Settlement/30,train
280,Landcover-776017,Settlement,10,Landcover,Landcover/Settlement/10,train
281,UNHCR-IRQs003072,Agriculture,11,UNHCR,UNHCR/Agriculture/11,train
282,ASMSpotter-12-2-3,Forest,11,ASMSpotter,ASMSpotter/Forest/11,train
283,UNHCR-NGAs036357,Agriculture,11,UNHCR,UNHCR/Agriculture/11,train
284,Landcover-778369,Settlement,23,Landcover,Landcover/Settlement/23,train
285,Landcover-775242,Settlement,11,Landcover,Landcover/Settlement/11,train
286,Landcover-800507,Agriculture,23,Landcover,Landcover/Agriculture/23,train
287,UNHCR-NGAs036801,Agriculture,11,UNHCR,UNHCR/Agriculture/11,train
288,Landcover-778469,Settlement,22,Landcover,Landcover/Settlement/22,train
289,Landcover-1274598,blank,11,Landcover,Landcover/nan/11,train
290,Landcover-777247,Settlement,30,Landcover,Landcover/Settlement/30,train
291,ASMSpotter-36-2-2,Forest,11,ASMSpotter,ASMSpotter/Forest/11,train
292,Landcover-771557,Settlement,13,Landcover,Landcover/Settlement/13,train
293,UNHCR-NGAs036462,Agriculture,30,UNHCR,UNHCR/Agriculture/30,train
294,ASMSpotter-29-3-1,Other,11,ASMSpotter,ASMSpotter/Other/11,train
295,UNHCR-ROUs080015,Settlement,30,UNHCR,UNHCR/Settlement/30,train
296,Landcover-1629935,Forest,11,Landcover,Landcover/Forest/11,train
297,Landcover-773057,Settlement,23,Landcover,Landcover/Settlement/23,train
298,UNHCR-NGAs037192,Settlement,30,UNHCR,UNHCR/Settlement/30,train
299,Landcover-769585,Settlement,30,Landcover,Landcover/Settlement/30,train
300,Landcover-776641,Settlement,11,Landcover,Landcover/Settlement/11,train
301,UNHCR-ECUs003228,Settlement,30,UNHCR,UNHCR/Settlement/30,train
302,Landcover-295090,Other,11,Landcover,Landcover/Other/11,train
303,Landcover-773315,Settlement,21,Landcover,Landcover/Settlement/21,train
304,Landcover-1295513,Agriculture,11,Landcover,Landcover/Agriculture/11,train
305,UNHCR-LBNs006370,Other,12,UNHCR,UNHCR/Other/12,train
306,Landcover-1593978,Forest,11,Landcover,Landcover/Forest/11,train
307,UNHCR-NGAs036132,Agriculture,11,UNHCR,UNHCR/Agriculture/11,train
308,Landcover-1580035,Forest,11,Landcover,Landcover/Forest/11,train
309,UNHCR-NGAs035712,Agriculture,11,UNHCR,UNHCR/Agriculture/11,train
310,UNHCR-GRCs000063,Settlement,30,UNHCR,UNHCR/Settlement/30,train
311,Landcover-772492,Settlement,10,Landcover,Landcover/Settlement/10,train
312,Landcover-1783140,Forest,11,Landcover,Landcover/Forest/11,train
313,UNHCR-NGAs036663,Agriculture,11,UNHCR,UNHCR/Agriculture/11,train
314,Landcover-774852,Settlement,22,Landcover,Landcover/Settlement/22,train
315,Landcover-773898,Settlement,12,Landcover,Landcover/Settlement/12,train
316,Landcover-1054640,Other,11,Landcover,Landcover/Other/11,train
317,Landcover-777454,Settlement,13,Landcover,Landcover/Settlement/13,train
318,Landcover-774021,Settlement,30,Landcover,Landcover/Settlement/30,train
319,Landcover-772423,Settlement,10,Landcover,Landcover/Settlement/10,train
320,Landcover-773986,Settlement,30,Landcover,Landcover/Settlement/30,train
321,ASMSpotter-26-1-2,Forest,11,ASMSpotter,ASMSpotter/Forest/11,train
322,Amnesty POI-20-3-3,Agriculture,11,Amnesty,Amnesty/Agriculture/11,train
323,Landcover-1321867,Agriculture,11,Landcover,Landcover/Agriculture/11,train
324,Landcover-909687,Other,11,Landcover,Landcover/Other/11,train
325,Landcover-130647,Forest,11,Landcover,Landcover/Forest/11,train
326,Landcover-777163,Settlement,30,Landcover,Landcover/Settlement/30,train
327,Landcover-777760,Settlement,30,Landcover,Landcover/Settlement/30,train
328,UNHCR-NGAs037060,Agriculture,11,UNHCR,UNHCR/Agriculture/11,train
329,Landcover-773578,Settlement,13,Landcover,Landcover/Settlement/13,train
330,Landcover-730953,Forest,11,Landcover,Landcover/Forest/11,train
331,Landcover-775458,Settlement,10,Landcover,Landcover/Settlement/10,train
332,Landcover-770726,Settlement,30,Landcover,Landcover/Settlement/30,train
333,UNHCR-ISRs026084,Settlement,30,UNHCR,UNHCR/Settlement/30,train
334,Landcover-777875,Settlement,21,Landcover,Landcover/Settlement/21,train
335,Landcover-775981,Settlement,11,Landcover,Landcover/Settlement/11,train
336,Landcover-682943,Other,11,Landcover,Landcover/Other/11,train
337,Landcover-35500,Agriculture,11,Landcover,Landcover/Agriculture/11,train
338,UNHCR-BFAs004616,Agriculture,11,UNHCR,UNHCR/Agriculture/11,train
339,UNHCR-NGAs035556,Agriculture,11,UNHCR,UNHCR/Agriculture/11,train
340,Amnesty POI-15-2-2,Agriculture,11,Amnesty,Amnesty/Agriculture/11,train
341,Landcover-1607491,Forest,11,Landcover,Landcover/Forest/11,train
342,Amnesty POI-21-1-2,Agriculture,11,Amnesty,Amnesty/Agriculture/11,train
343,Amnesty POI-10-1-1,Forest,11,Amnesty,Amnesty/Forest/11,train
344,Landcover-770444,Settlement,12,Landcover,Landcover/Settlement/12,train
345,UNHCR-NGAs035846,Agriculture,11,UNHCR,UNHCR/Agriculture/11,train
346,Landcover-770137,Settlement,21,Landcover,Landcover/Settlement/21,train
347,Landcover-1054446,Other,11,Landcover,Landcover/Other/11,train
348,UNHCR-MOZs003315,Forest,11,UNHCR,UNHCR/Forest/11,train
349,Landcover-775674,Settlement,12,Landcover,Landcover/Settlement/12,train
350,UNHCR-IRQs010047,Agriculture,11,UNHCR,UNHCR/Agriculture/11,train
351,Landcover-777653,Settlement,11,Landcover,Landcover/Settlement/11,train
352,Landcover-755082,Wetland,11,Landcover,Landcover/Wetland/11,train
353,Landcover-774947,Settlement,21,Landcover,Landcover/Settlement/21,train
354,UNHCR-SSDs008635,Forest,11,UNHCR,UNHCR/Forest/11,train
355,UNHCR-NGAs035783,Agriculture,11,UNHCR,UNHCR/Agriculture/11,train
356,ASMSpotter-19-1-1,Forest,11,ASMSpotter,ASMSpotter/Forest/11,train
357,Landcover-772953,Settlement,21,Landcover,Landcover/Settlement/21,train
